id,loc,lat,lon,elev
96011,Banda Aceh-Blangbintang,5.522222222,95.41666667,20
96035,Kualanamu Medan,3.640277778,98.87833333,25
96147,Ranai-Ranai,3.911944444,108.3933333,2
96163,Padang-Tabing,-0.793333333,100.2888889,6
96237,Pangkalpinang-Pangkalpinang,-2.166666667,106.1330556,33
96253,Bengkulu-Padangkemiling,-3.883055556,102.3330556,16
96509,Tarakan-Juwata,3.333055556,117.5666667,6
96581,Pontianak-Supadio,-0.15,109.4,3
96645,Pangkalan Bun/Iskandar,-2.7,111.7,25
96685,Banjarmasin-Syamsuddin Noor,-3.438611111,114.7522222,16
96749,Jakarta-Soekarno-Hatta,-6.121944444,106.6544444,8
96805,Cilacap,-7.733055556,109.0166667,6
96935,Surabaya-Juanda,-7.3725,112.7797222,3
97014,Menado-Dr. Sam Ratulangi,1.545833333,124.9227778,23
97072,Palu-Mutiara,-0.916111111,119.9052778,84
97180,Ujung Pandang-Hasanuddin,-5.070833333,119.5519444,14
97372,Kupang-El Tari,-10.1675,123.67,102
97502,Sorong-Jefman,-0.891111111,131.2855556,3
97560,Biak-Mokmer,-1.183055556,136.1166667,11
97724,Ambon-Pattimura,-3.711111111,128.0852778,14
97900,Saumlaki,-7.983055556,131.3,24
97980,Merauke-Mopah,-8.52,140.4155556,3
