,time,jam,cape,cin,ki,li,si,rh850,rh700,rh500,wspd850,wspd700,wspd500
0,2025-07-05 00:00:00,0,911.4588877607241,-63.684821815896086,33.7,[6.],[-0.57039007],90.33433206663707,70.90723813653298,62.62590185169587,1.0,3.9999999999999996,19.0
1,2025-07-05 12:00:00,12,2585.7310044569076,-8.221250172260008,36.7,[2.3],[-0.92363805],81.1056455412018,82.06118637866348,83.73749817858868,4.999999999999999,11.0,21.0
2,2025-07-04 00:00:00,0,219.8409246301934,-179.78775040684715,34.2,[3.1],[-0.84313905],84.21946960876383,71.10379515551716,78.62823824094986,5.0,5.0,17.0
3,2025-07-03 00:00:00,0,1558.9145740474976,-19.443063920454666,38.900000000000006,[0.5],[-2.08112296],92.0815883169398,91.50584097626194,96.22463406798916,1.9999999999999998,5.0,30.000000000000004
4,2025-07-02 00:00:00,0,622.1941383749214,-135.42684867356016,30.199999999999996,[7.],[-0.52363805],81.1056455412018,53.796075993324955,57.73657176456257,4.0,9.0,11.0
5,2025-07-02 12:00:00,12,1761.6136340299595,-29.96452184809886,39.3,[2.1],[-2.92057732],96.90573309437481,86.6411840138757,85.12122369592142,6.000000000000001,9.0,9.0
6,2025-07-01 00:00:00,0,344.6361379738816,-92.36969732433775,37.0,[1.3],[-1.43047274],82.12896632332026,81.5506151308898,90.44754986975421,11.0,16.0,15.0
7,2025-07-01 12:00:00,12,2187.2110394100528,-25.05085580966372,35.099999999999994,[4.2],[-1.44401969],88.13762006339483,71.02536930841879,72.28684168456749,5.0,10.0,11.999999999999998
8,2025-06-30 00:00:00,0,798.7382882103998,-120.76630843493678,31.299999999999997,[1.7],[1.50348142],68.136960768196,66.52416481029381,87.77368543324124,24.0,12.000000000000002,4.0
9,2025-06-29 00:00:00,0,245.234988056328,-161.71799562646035,35.2,[2.3],[-0.65015592],85.83695095309696,77.64170463153584,83.73749817858868,8.0,12.000000000000002,18.0
10,2025-06-28 00:00:00,0,1571.8624857675377,-74.10169216283363,35.6,[12.],[-1.93109056],85.372209857319,71.06461497806606,38.00973608540188,8.0,11.0,21.0
11,2025-06-27 00:00:00,0,1532.352138757584,-66.69767185590695,24.0,[21.],[-0.88955149],93.26281872735643,34.66593963790398,17.426856895742347,9.0,20.0,25.0
12,2025-06-26 00:00:00,0,356.5043785252647,-260.16578712055235,30.099999999999994,[19.],[1.3628144],60.05103125755259,57.6087553687767,20.76342679171551,8.0,8.0,21.0
